step	time_s	rho_gcc	size_cm	te_eV	ti_eV_assumed	ni_cm3	ne_cm3	zstar	pmate_erg_cm3	pmati_erg_cm3	pmat_erg_cm3	pmate_Gbar	pmati_Gbar	pmat_Gbar	emate_erg_g	emati_erg_g	emat_erg_g	power_loss_total
1	0.000000E+00	1.000000E-01	1.000000E-04	3.000000E+01	3.000000E+01	2.231949E+21	6.696100E+21	3.000000E+00	3.218500E+11	1.072793E+11	4.291293E+11	3.218500E-04	1.072793E-04	4.291293E-04	4.827751E+12	1.609189E+12	6.436940E+12	9.831200E-02
2	1.000000E-12	9.081852E-02	1.000000E-04	3.003500E+01	3.003500E+01	2.027023E+21	9.509600E+21	4.691200E+00	4.576150E+11	9.754312E+10	5.551581E+11	4.576150E-04	9.754312E-05	5.551581E-04	7.558178E+12	1.611067E+12	9.169245E+12	2.765500E+00
3	2.000000E-12	8.641801E-02	1.000000E-04	3.007000E+01	3.007000E+01	1.928806E+21	9.448100E+21	4.898200E+00	4.551854E+11	9.292494E+10	5.481103E+11	4.551854E-04	9.292494E-05	5.481103E-04	7.900877E+12	1.612944E+12	9.513821E+12	4.551500E-01
4	3.000000E-12	8.301251E-02	1.000000E-04	3.010500E+01	3.010500E+01	1.852797E+21	9.132000E+21	4.928600E+00	4.404686E+11	8.936691E+10	5.298355E+11	4.404686E-04	8.936691E-05	5.298355E-04	7.959076E+12	1.614821E+12	9.573897E+12	4.328700E-01
5	4.000000E-12	8.015120E-02	1.000000E-04	3.014000E+01	3.014000E+01	1.788934E+21	8.854300E+21	4.949300E+00	4.275706E+11	8.638689E+10	5.139575E+11	4.275706E-04	8.638689E-05	5.139575E-04	8.001826E+12	1.616699E+12	9.618525E+12	4.209400E-01
6	5.000000E-12	7.765044E-02	1.000000E-04	3.017500E+01	3.017500E+01	1.733118E+21	8.611500E+21	4.968600E+00	4.163288E+11	8.378876E+10	5.001176E+11	4.163288E-04	8.378876E-05	5.001176E-04	8.042366E+12	1.618576E+12	9.660942E+12	4.069100E-01
7	6.000000E-12	7.541270E-02	1.000000E-04	3.021000E+01	3.021000E+01	1.683173E+21	8.380600E+21	4.978800E+00	4.056358E+11	8.146852E+10	4.871043E+11	4.056358E-04	8.146852E-05	4.871043E-04	8.068318E+12	1.620453E+12	9.688771E+12	4.194300E-01
8	7.000000E-12	7.337846E-02	1.000000E-04	3.024500E+01	3.024500E+01	1.637770E+21	8.182700E+21	4.996100E+00	3.965159E+11	7.936276E+10	4.758787E+11	3.965159E-04	7.936276E-05	4.758787E-04	8.105565E+12	1.622331E+12	9.727896E+12	4.053700E-01
9	8.000000E-12	7.150804E-02	1.000000E-04	3.028000E+01	3.028000E+01	1.596023E+21	8.001100E+21	5.012900E+00	3.881646E+11	7.742930E+10	4.655939E+11	3.881646E-04	7.742930E-05	4.655939E-04	8.142398E+12	1.624208E+12	9.766607E+12	3.940000E-01
10	9.000000E-12	6.977338E-02	1.000000E-04	3.031500E+01	3.031500E+01	1.557306E+21	7.785000E+21	4.998800E+00	3.781173E+11	7.563833E+10	4.537557E+11	3.781173E-04	7.563833E-05	4.537557E-04	8.128831E+12	1.626086E+12	9.754916E+12	3.997400E-01
11	1.000000E-11	6.815369E-02	1.000000E-04	3.035000E+01	3.035000E+01	1.521155E+21	7.627500E+21	5.014000E+00	3.708953E+11	7.396779E+10	4.448631E+11	3.708953E-04	7.396779E-05	4.448631E-04	8.163064E+12	1.627963E+12	9.791027E+12	3.747000E-01
12	7.633300E-11	2.730680E-02	1.000000E-04	3.267200E+01	3.267200E+01	6.094737E+20	3.582000E+21	5.876900E+00	1.875045E+11	3.190370E+10	2.194082E+11	1.875045E-04	3.190370E-05	2.194082E-04	1.029988E+13	1.752514E+12	1.205239E+13	1.449800E-01
13	1.426700E-10	1.512103E-02	1.000000E-04	3.499300E+01	3.499300E+01	3.374936E+20	2.167200E+21	6.421200E+00	1.215040E+11	1.892157E+10	1.404256E+11	1.215040E-04	1.892157E-05	1.404256E-04	1.205315E+13	1.877012E+12	1.393016E+13	1.014900E-01
14	2.090000E-10	9.297287E-03	1.000000E-04	3.731500E+01	3.731500E+01	2.075107E+20	1.439600E+21	6.937400E+00	8.606680E+10	1.240607E+10	9.847288E+10	8.606680E-05	1.240607E-05	9.847288E-05	1.388579E+13	2.001563E+12	1.588736E+13	7.919100E-02
15	2.753300E-10	6.064753E-03	1.000000E-04	3.963700E+01	3.963700E+01	1.353622E+20	1.002600E+21	7.406600E+00	6.367059E+10	8.596239E+09	7.226683E+10	6.367059E-05	8.596239E-06	7.226683E-05	1.574770E+13	2.126114E+12	1.787381E+13	6.258000E-02
16	3.416700E-10	4.116323E-03	1.000000E-04	4.195800E+01	4.195800E+01	9.187421E+19	7.178500E+20	7.813000E+00	4.825684E+10	6.176164E+09	5.443300E+10	4.825684E-05	6.176164E-06	5.443300E-05	1.758493E+13	2.250612E+12	1.983554E+13	4.991900E-02
17	4.080000E-10	2.876565E-03	1.000000E-04	4.428000E+01	4.428000E+01	6.420345E+19	5.231600E+20	8.148100E+00	3.711526E+10	4.554874E+09	4.167014E+10	3.711526E-05	4.554874E-06	4.167014E-05	1.935395E+13	2.375163E+12	2.172911E+13	4.026300E-02
