step	time_s	rho_gcc	size_cm	te_eV	ti_eV_assumed	ni_cm3	ne_cm3	zstar	pmate_erg_cm3	pmati_erg_cm3	pmat_erg_cm3	pmate_Gbar	pmati_Gbar	pmat_Gbar	emate_erg_g	emati_erg_g	emat_erg_g	power_loss_total
21	6.733300E-10	1.991693E-02	1.000000E-04	5.356700E+01	5.356700E+01	4.445356E+20	3.651000E+21	8.212800E+00	3.133427E+11	3.815174E+10	3.514944E+11	3.133427E-04	3.815174E-05	3.514944E-04	2.359872E+13	2.873315E+12	2.647203E+13	6.572400E-01
22	7.396700E-10	1.532993E-02	1.000000E-04	5.588800E+01	5.588800E+01	3.421562E+20	2.927100E+21	8.554600E+00	2.620997E+11	3.063750E+10	2.927372E+11	2.620997E-04	3.063750E-05	2.927372E-04	2.564588E+13	2.997812E+12	2.864369E+13	5.461900E-01
23	8.060000E-10	1.162967E-02	1.000000E-04	5.821000E+01	5.821000E+01	2.595683E+20	2.304800E+21	8.879100E+00	2.149519E+11	2.420804E+10	2.391599E+11	2.149519E-04	2.420804E-05	2.391599E-04	2.772459E+13	3.122363E+12	3.084695E+13	4.396500E-01
24	8.723300E-10	8.699943E-03	1.000000E-04	6.053200E+01	6.053200E+01	1.941783E+20	1.783400E+21	9.184000E+00	1.729594E+11	1.883198E+10	1.917914E+11	1.729594E-04	1.883198E-05	1.917914E-04	2.982078E+13	3.246915E+12	3.306770E+13	3.417700E-01
25	9.386700E-10	6.420625E-03	1.000000E-04	6.285300E+01	6.285300E+01	1.433051E+20	1.356200E+21	9.463000E+00	1.365715E+11	1.443105E+10	1.510026E+11	1.365715E-04	1.443105E-05	1.510026E-04	3.190613E+13	3.371412E+12	3.527754E+13	2.575300E-01
26	1.005000E-09	4.676492E-03	1.000000E-04	6.517500E+01	6.517500E+01	1.043769E+20	1.013100E+21	9.705900E+00	1.057898E+11	1.089923E+10	1.166890E+11	1.057898E-04	1.089923E-05	1.166890E-04	3.393242E+13	3.495963E+12	3.742838E+13	1.895900E-01
27	1.071300E-09	3.362787E-03	1.000000E-04	6.749700E+01	6.749700E+01	7.505568E+19	7.432500E+20	9.902300E+00	8.037663E+10	8.116680E+09	8.849331E+10	8.037663E-05	8.116680E-06	8.849331E-05	3.585268E+13	3.620515E+12	3.947320E+13	1.375100E-01
28	1.137700E-09	2.388115E-03	1.000000E-04	6.981800E+01	6.981800E+01	5.330150E+19	5.355800E+20	1.004800E+01	5.991039E+10	5.962347E+09	6.587274E+10	5.991039E-05	5.962347E-06	6.587274E-05	3.763034E+13	3.745012E+12	4.137535E+13	9.734700E-02
29	1.204000E-09	1.675394E-03	1.000000E-04	7.214000E+01	7.214000E+01	3.739393E+19	3.793800E+20	1.014500E+01	4.384913E+10	4.322029E+09	4.817116E+10	4.384913E-05	4.322029E-06	4.817116E-05	3.925864E+13	3.869564E+12	4.312821E+13	6.649800E-02
30	1.270300E-09	1.161456E-03	1.000000E-04	7.446200E+01	7.446200E+01	2.592310E+19	2.644900E+20	1.020300E+01	3.155399E+10	3.092659E+09	3.464665E+10	3.155399E-05	3.092659E-06	3.464665E-05	4.075143E+13	3.994115E+12	4.474554E+13	4.309400E-02
31	1.336700E-09	7.958356E-04	1.000000E-04	7.678300E+01	7.678300E+01	1.776264E+19	1.817600E+20	1.023200E+01	2.236010E+10	2.185159E+09	2.454526E+10	2.236010E-05	2.185159E-06	2.454526E-05	4.214458E+13	4.118612E+12	4.626319E+13	2.605600E-02
32	1.403000E-09	5.391136E-04	1.000000E-04	7.910500E+01	7.910500E+01	1.203274E+19	1.232800E+20	1.024500E+01	1.562453E+10	1.525031E+09	1.714956E+10	1.562453E-05	1.525031E-06	1.714956E-05	4.347283E+13	4.243164E+12	4.771599E+13	1.466900E-02
33	1.469300E-09	3.611345E-04	1.000000E-04	8.142700E+01	8.142700E+01	8.060336E+18	8.260400E+19	1.024800E+01	1.077655E+10	1.051555E+09	1.182811E+10	1.077655E-05	1.051555E-06	1.182811E-05	4.476125E+13	4.367715E+12	4.912896E+13	7.750600E-03
34	1.535700E-09	2.392647E-04	1.000000E-04	8.374800E+01	8.374800E+01	5.340265E+18	5.472200E+19	1.024700E+01	7.342548E+09	7.165519E+08	8.059100E+09	7.342548E-06	7.165519E-07	8.059100E-06	4.603196E+13	4.492212E+12	5.052417E+13	3.880300E-03
35	1.602000E-09	1.568169E-04	1.000000E-04	8.607000E+01	8.607000E+01	3.500073E+18	3.585700E+19	1.024400E+01	4.944657E+09	4.826577E+08	5.427314E+09	4.944657E-06	4.826577E-07	5.427314E-06	4.729710E+13	4.616764E+12	5.191387E+13	1.856500E-03
36	1.668300E-09	1.016929E-04	1.000000E-04	8.839200E+01	8.839200E+01	2.269733E+18	2.324700E+19	1.024200E+01	3.292231E+09	3.214387E+08	3.613669E+09	3.292231E-06	3.214387E-07	3.613669E-06	4.856137E+13	4.741315E+12	5.330268E+13	8.541200E-04
37	1.734700E-09	6.525990E-05	1.000000E-04	9.071300E+01	9.071300E+01	1.456567E+18	1.491500E+19	1.023900E+01	2.167720E+09	2.116950E+08	2.379415E+09	2.167720E-06	2.116950E-07	2.379415E-06	4.982508E+13	4.865813E+12	5.469090E+13	3.797800E-04
38	1.801000E-09	4.145053E-05	1.000000E-04	9.303500E+01	9.303500E+01	9.251545E+17	9.472000E+18	1.023800E+01	1.411882E+09	1.379021E+08	1.549784E+09	1.411882E-06	1.379021E-07	1.549784E-06	5.109279E+13	4.990364E+12	5.608315E+13	1.638300E-04
39	1.867300E-09	2.606205E-05	1.000000E-04	9.535700E+01	9.535700E+01	5.816916E+17	5.954900E+18	1.023700E+01	9.097822E+08	8.887011E+07	9.986523E+08	9.097822E-07	8.887011E-08	9.986523E-07	5.236247E+13	5.114915E+12	5.747739E+13	6.876100E-05
40	1.933700E-09	1.622352E-05	1.000000E-04	9.767800E+01	9.767800E+01	3.621006E+17	3.706700E+18	1.023600E+01	5.800889E+08	5.666781E+07	6.367568E+08	5.800889E-07	5.666781E-08	6.367568E-07	5.363407E+13	5.239413E+12	5.887348E+13	2.813800E-05
41	2.000000E-09	1.000000E-05	1.000000E-04	1.000000E+02	1.000000E+02	2.231949E+17	2.284700E+18	1.023600E+01	3.660493E+08	3.575976E+07	4.018091E+08	3.660493E-07	3.575976E-08	4.018091E-07	5.490739E+13	5.363964E+12	6.027136E+13	1.124400E-05
