step	time_s	rho_gcc	size_cm	te_eV	ti_eV_assumed	ni_cm3	ne_cm3	zstar	pmate_erg_cm3	pmati_erg_cm3	pmat_erg_cm3	pmate_Gbar	pmati_Gbar	pmat_Gbar	emate_erg_g	emati_erg_g	emat_erg_g	power_loss_total
16	3.416700E-10	2.073322E-02	1.000000E-04	3.414200E+01	3.414200E+01	4.627548E+20	2.837600E+21	6.131800E+00	1.552210E+11	2.531339E+10	1.805344E+11	1.552210E-04	2.531339E-05	1.805344E-04	1.122988E+13	1.831365E+12	1.306124E+13	1.382900E-01
17	4.080000E-10	1.527566E-02	1.000000E-04	3.550200E+01	3.550200E+01	3.409449E+20	2.202200E+21	6.458700E+00	1.252622E+11	1.939311E+10	1.446553E+11	1.252622E-04	1.939311E-05	1.446553E-04	1.230017E+13	1.904314E+12	1.420449E+13	1.167800E-01
18	4.743300E-10	1.125468E-02	1.000000E-04	3.700100E+01	3.700100E+01	2.511987E+20	1.708800E+21	6.802500E+00	1.013013E+11	1.489159E+10	1.161929E+11	1.013013E-04	1.489159E-05	1.161929E-04	1.350123E+13	1.984720E+12	1.548595E+13	9.945400E-02
19	5.406700E-10	8.292141E-03	1.000000E-04	3.863300E+01	3.863300E+01	1.850763E+20	1.324400E+21	7.155700E+00	8.197624E+10	1.145565E+10	9.343189E+10	8.197624E-05	1.145565E-05	9.343189E-05	1.482902E+13	2.072260E+12	1.690128E+13	8.394100E-02
20	6.070000E-10	6.109420E-03	1.000000E-04	4.038800E+01	4.038800E+01	1.363591E+20	1.023500E+21	7.505800E+00	6.622936E+10	8.823622E+09	7.505299E+10	6.622936E-05	8.823622E-06	7.505299E-05	1.626080E+13	2.166398E+12	1.842720E+13	7.067300E-02
21	6.733300E-10	4.501252E-03	1.000000E-04	4.226400E+01	4.226400E+01	1.004656E+20	7.874600E+20	7.837800E+00	5.332238E+10	6.802969E+09	6.012535E+10	5.332238E-05	6.802969E-06	6.012535E-05	1.776918E+13	2.267026E+12	2.003621E+13	5.869400E-02
22	7.396700E-10	3.316398E-03	1.000000E-04	4.425300E+01	4.425300E+01	7.402030E+19	6.023500E+20	8.137300E+00	4.270729E+10	5.248122E+09	4.795541E+10	4.270729E-05	5.248122E-06	4.795541E-05	1.931642E+13	2.373715E+12	2.169013E+13	4.837300E-02
23	8.060000E-10	2.443431E-03	1.000000E-04	4.635300E+01	4.635300E+01	5.453612E+19	4.577800E+20	8.393700E+00	3.399735E+10	4.050163E+09	3.804751E+10	3.399735E-05	4.050163E-06	3.804751E-05	2.087066E+13	2.486358E+12	2.335702E+13	3.987700E-02
24	8.723300E-10	1.800252E-03	1.000000E-04	4.855800E+01	4.855800E+01	4.018070E+19	3.456400E+20	8.601700E+00	2.689027E+10	3.125998E+09	3.001627E+10	2.689027E-05	3.125998E-06	3.001627E-05	2.240542E+13	2.604634E+12	2.501006E+13	3.303900E-02
25	9.386700E-10	1.326376E-03	1.000000E-04	5.086700E+01	5.086700E+01	2.960403E+19	2.593900E+20	8.761700E+00	2.113975E+10	2.412667E+09	2.355241E+10	2.113975E-05	2.412667E-06	2.355241E-05	2.390696E+13	2.728488E+12	2.663545E+13	2.726800E-02
26	1.005000E-09	9.772372E-04	1.000000E-04	5.327600E+01	5.327600E+01	2.181143E+19	1.936900E+20	8.879800E+00	1.653291E+10	1.861771E+09	1.839468E+10	1.653291E-05	1.861771E-06	1.839468E-05	2.537701E+13	2.857705E+12	2.823472E+13	2.193600E-02
27	1.071300E-09	7.200014E-04	1.000000E-04	5.578300E+01	5.578300E+01	1.607006E+19	1.440300E+20	8.962600E+00	1.287257E+10	1.436249E+09	1.430882E+10	1.287257E-05	1.436249E-06	1.430882E-05	2.681780E+13	2.992180E+12	2.980998E+13	1.702000E-02
28	1.137700E-09	5.304771E-04	1.000000E-04	5.838400E+01	5.838400E+01	1.183998E+19	1.067800E+20	9.018300E+00	9.988359E+09	1.107529E+09	1.109589E+10	9.988359E-06	1.107529E-06	1.109589E-05	2.824352E+13	3.131697E+12	3.137521E+13	1.260900E-02
29	1.204000E-09	3.908409E-04	1.000000E-04	6.107800E+01	6.107800E+01	8.723368E+18	7.898900E+19	9.054500E+00	7.729685E+09	8.536491E+08	8.583335E+09	7.729685E-06	8.536491E-07	8.583335E-06	2.966560E+13	3.276202E+12	3.294180E+13	8.904700E-03
30	1.270300E-09	2.879608E-04	1.000000E-04	6.386200E+01	6.386200E+01	6.427137E+18	5.834300E+19	9.077200E+00	5.969551E+09	6.576131E+08	6.627164E+09	5.969551E-06	6.576131E-07	6.627164E-06	3.109564E+13	3.425535E+12	3.452118E+13	6.041100E-03
31	1.336700E-09	2.121615E-04	1.000000E-04	6.673600E+01	6.673600E+01	4.735336E+18	4.305000E+19	9.091000E+00	4.603029E+09	5.063156E+08	5.109345E+09	4.603029E-06	5.063156E-07	5.109345E-06	3.254381E+13	3.579695E+12	3.612351E+13	3.971900E-03
32	1.403000E-09	1.563148E-04	1.000000E-04	6.969600E+01	6.969600E+01	3.488866E+18	3.174700E+19	9.099000E+00	3.545038E+09	3.895853E+08	3.934624E+09	3.545038E-06	3.895853E-07	3.934624E-06	3.401826E+13	3.738468E+12	3.775673E+13	2.547200E-03
33	1.469300E-09	1.151684E-04	1.000000E-04	7.274100E+01	7.274100E+01	2.570500E+18	2.340200E+19	9.103600E+00	2.727361E+09	2.995761E+08	3.026937E+09	2.727361E-06	2.995761E-07	3.026937E-06	3.552226E+13	3.901801E+12	3.942406E+13	1.602500E-03
34	1.535700E-09	8.485290E-05	1.000000E-04	7.587000E+01	7.587000E+01	1.893873E+18	1.724700E+19	9.106100E+00	2.096496E+09	2.302138E+08	2.326710E+09	2.096496E-06	2.302138E-07	2.326710E-06	3.706113E+13	4.069639E+12	4.113077E+13	9.931700E-04
35	1.602000E-09	6.251727E-05	1.000000E-04	7.908100E+01	7.908100E+01	1.395353E+18	1.270900E+19	9.107500E+00	1.610252E+09	1.767937E+08	1.787046E+09	1.610252E-06	1.767937E-07	1.787046E-06	3.863538E+13	4.241876E+12	4.287726E+13	6.079600E-04
36	1.668300E-09	4.606100E-05	1.000000E-04	8.237200E+01	8.237200E+01	1.028058E+18	9.364200E+18	9.108200E+00	1.235836E+09	1.356774E+08	1.371513E+09	1.235836E-06	1.356774E-07	1.371513E-06	4.024562E+13	4.418404E+12	4.466402E+13	3.682900E-04
37	1.734700E-09	3.393647E-05	1.000000E-04	8.574400E+01	8.574400E+01	7.574446E+17	6.899600E+18	9.108700E+00	9.478466E+08	1.040555E+08	1.051902E+09	9.478466E-07	1.040555E-07	1.051902E-06	4.189504E+13	4.599277E+12	4.649432E+13	2.211600E-04
38	1.801000E-09	2.500345E-05	1.000000E-04	8.919300E+01	8.919300E+01	5.580642E+17	5.083600E+18	9.109000E+00	7.264614E+08	7.974901E+07	8.062104E+08	7.264614E-07	7.974901E-08	8.062104E-07	4.358167E+13	4.784280E+12	4.836595E+13	1.318000E-04
39	1.867300E-09	1.842185E-05	1.000000E-04	9.272000E+01	9.272000E+01	4.111662E+17	3.745600E+18	9.109300E+00	5.564232E+08	6.108031E+07	6.175035E+08	5.564232E-07	6.108031E-08	6.175035E-07	4.530678E+13	4.973467E+12	5.028025E+13	7.802100E-05
40	1.933700E-09	1.357271E-05	1.000000E-04	9.632200E+01	9.632200E+01	3.029359E+17	2.759700E+18	9.109600E+00	4.258903E+08	4.675054E+07	4.726409E+08	4.258903E-07	4.675054E-08	4.726409E-07	4.706764E+13	5.166677E+12	5.223432E+13	4.591500E-05
41	2.000000E-09	1.000000E-05	1.000000E-04	1.000000E+02	1.000000E+02	2.231949E+17	2.033400E+18	9.109900E+00	3.257866E+08	3.575976E+07	3.615464E+08	3.257866E-07	3.575976E-08	3.615464E-07	4.886799E+13	5.363964E+12	5.423195E+13	2.687900E-05
