step	time_s	rho_gcc	size_cm	te_eV	ti_eV_assumed	ni_cm3	ne_cm3	zstar	pmate_erg_cm3	pmati_erg_cm3	pmat_erg_cm3	pmate_Gbar	pmati_Gbar	pmat_Gbar	emate_erg_g	emati_erg_g	emat_erg_g	power_loss_total
1	0.000000E+00	1.000000E-01	1.000000E-04	3.000000E+01	3.000000E+01	2.231949E+21	6.696100E+21	3.000000E+00	3.218500E+11	1.072793E+11	4.291293E+11	3.218500E-04	1.072793E-04	4.291293E-04	4.827751E+12	1.609189E+12	6.436940E+12	9.831200E-02
2	1.000000E-12	9.954054E-02	1.000000E-04	3.000000E+01	3.000000E+01	2.221694E+21	1.028200E+22	4.627800E+00	4.942074E+11	1.067864E+11	6.009938E+11	4.942074E-04	1.067864E-04	6.009938E-04	7.447329E+12	1.609189E+12	9.056518E+12	3.056700E+00
3	2.000000E-12	9.908319E-02	1.000000E-04	3.000100E+01	3.000100E+01	2.211486E+21	1.065700E+22	4.818900E+00	5.122490E+11	1.062993E+11	6.185482E+11	5.122490E-04	1.062993E-04	6.185482E-04	7.754832E+12	1.609243E+12	9.364074E+12	5.414600E-01
4	3.000000E-12	9.862795E-02	1.000000E-04	3.000200E+01	3.000200E+01	2.201325E+21	1.063100E+22	4.829300E+00	5.110163E+11	1.058144E+11	6.168307E+11	5.110163E-04	1.058144E-04	6.168307E-04	7.771878E+12	1.609296E+12	9.381174E+12	5.346400E-01
5	4.000000E-12	9.817479E-02	1.000000E-04	3.000300E+01	3.000300E+01	2.191211E+21	1.058900E+22	4.832100E+00	5.090143E+11	1.053317E+11	6.143461E+11	5.090143E-04	1.053317E-04	6.143461E-04	7.777165E+12	1.609350E+12	9.386515E+12	5.319000E-01
6	5.000000E-12	9.772372E-02	1.000000E-04	3.000500E+01	3.000500E+01	2.181143E+21	1.054500E+22	4.834600E+00	5.069331E+11	1.048548E+11	6.117878E+11	5.069331E-04	1.048548E-04	6.117878E-04	7.781116E+12	1.609457E+12	9.390573E+12	5.289400E-01
7	6.000000E-12	9.727472E-02	1.000000E-04	3.000600E+01	3.000600E+01	2.171122E+21	1.050200E+22	4.837000E+00	5.048827E+11	1.043765E+11	6.092592E+11	5.048827E-04	1.043765E-04	6.092592E-04	7.785415E+12	1.609511E+12	9.394926E+12	5.260100E-01
8	7.000000E-12	9.682779E-02	1.000000E-04	3.000800E+01	3.000800E+01	2.161147E+21	1.045900E+22	4.839500E+00	5.028490E+11	1.039039E+11	6.067529E+11	5.028490E-04	1.039039E-04	6.067529E-04	7.789846E+12	1.609618E+12	9.399464E+12	5.230900E-01
9	8.000000E-12	9.638290E-02	1.000000E-04	3.001000E+01	3.001000E+01	2.151217E+21	1.041700E+22	4.842000E+00	5.008631E+11	1.034333E+11	6.042965E+11	5.008631E-04	1.034333E-04	6.042965E-04	7.794896E+12	1.609726E+12	9.404622E+12	5.202100E-01
10	9.000000E-12	9.594006E-02	1.000000E-04	3.001200E+01	3.001200E+01	2.141333E+21	1.037400E+22	4.844500E+00	4.988289E+11	1.029650E+11	6.017938E+11	4.988289E-04	1.029650E-04	6.017938E-04	7.799071E+12	1.609833E+12	9.408903E+12	5.173600E-01
11	1.000000E-11	9.549926E-02	1.000000E-04	3.001500E+01	3.001500E+01	2.131494E+21	1.033200E+22	4.847000E+00	4.968590E+11	1.025021E+11	5.993611E+11	4.968590E-04	1.025021E-04	5.993611E-04	7.804128E+12	1.609994E+12	9.414122E+12	5.145300E-01
12	7.633300E-11	7.036122E-02	1.000000E-04	3.037700E+01	3.037700E+01	1.570426E+21	7.976900E+21	5.079300E+00	3.882303E+11	7.643158E+10	4.646619E+11	3.882303E-04	7.643158E-05	4.646619E-04	8.276511E+12	1.629411E+12	9.905923E+12	3.488200E-01
13	1.426700E-10	5.184020E-02	1.000000E-04	3.102400E+01	3.102400E+01	1.157047E+21	6.111200E+21	5.281500E+00	3.037629E+11	5.751208E+10	3.612749E+11	3.037629E-04	5.751208E-05	3.612749E-04	8.789401E+12	1.664116E+12	1.045352E+13	2.769800E-01
14	2.090000E-10	3.819443E-02	1.000000E-04	3.188700E+01	3.188700E+01	8.524801E+20	4.720900E+21	5.537600E+00	2.411842E+11	4.355202E+10	2.847362E+11	2.411842E-04	4.355202E-05	2.847362E-04	9.471965E+12	1.710407E+12	1.118237E+13	2.083000E-01
15	2.753300E-10	2.814060E-02	1.000000E-04	3.293200E+01	3.293200E+01	6.280837E+20	3.658300E+21	5.824400E+00	1.930224E+11	3.313951E+10	2.261620E+11	1.930224E-04	3.313951E-05	2.261620E-04	1.028882E+13	1.766461E+12	1.205528E+13	1.668500E-01
