step	time_s	rho_gcc	size_cm	te_eV	ti_eV_assumed	ni_cm3	ne_cm3	zstar	pmate_erg_cm3	pmati_erg_cm3	pmat_erg_cm3	pmate_Gbar	pmati_Gbar	pmat_Gbar	emate_erg_g	emati_erg_g	emat_erg_g	power_loss_total
21	6.733300E-10	4.501252E-03	1.000000E-04	6.642700E+01	6.642700E+01	1.004656E+20	9.842100E+20	9.796100E+00	1.047473E+11	1.069233E+10	1.154396E+11	1.047473E-04	1.069233E-05	1.154396E-04	3.490605E+13	3.563120E+12	3.846917E+13	1.878400E-01
22	7.396700E-10	3.316398E-03	1.000000E-04	6.853900E+01	6.853900E+01	7.402030E+19	7.381000E+20	9.971200E+00	8.105193E+10	8.128286E+09	8.918022E+10	8.105193E-05	8.128286E-06	8.918022E-05	3.665962E+13	3.676407E+12	4.033603E+13	1.394100E-01
23	8.060000E-10	2.443431E-03	1.000000E-04	7.057700E+01	7.057700E+01	5.453612E+19	5.508100E+20	1.010000E+01	6.228384E+10	6.166772E+09	6.845061E+10	6.228384E-05	6.166772E-06	6.845061E-05	3.823548E+13	3.785725E+12	4.202121E+13	1.019200E-01
24	8.723300E-10	1.800252E-03	1.000000E-04	7.254900E+01	7.254900E+01	4.018070E+19	4.093400E+20	1.018700E+01	4.758017E+10	4.670456E+09	5.225063E+10	4.758017E-05	4.670456E-06	5.225063E-05	3.964459E+13	3.891502E+12	4.353610E+13	7.304300E-02
25	9.386700E-10	1.326376E-03	1.000000E-04	7.446200E+01	7.446200E+01	2.960403E+19	3.032300E+20	1.024200E+01	3.617573E+10	3.531799E+09	3.970752E+10	3.617573E-05	3.531799E-06	3.970752E-05	4.091117E+13	3.994115E+12	4.490528E+13	5.082400E-02
26	1.005000E-09	9.772372E-04	1.000000E-04	7.632100E+01	7.632100E+01	2.181143E+19	2.241100E+20	1.027500E+01	2.740411E+10	2.667096E+09	3.007120E+10	2.740411E-05	2.667096E-06	3.007120E-05	4.206365E+13	4.093831E+12	4.615748E+13	3.409000E-02
27	1.071300E-09	7.200014E-04	1.000000E-04	7.813200E+01	7.813200E+01	1.607006E+19	1.653900E+20	1.029100E+01	2.070373E+10	2.011671E+09	2.271540E+10	2.070373E-05	2.011671E-06	2.271540E-05	4.313269E+13	4.190972E+12	4.732366E+13	2.205600E-02
28	1.137700E-09	5.304771E-04	1.000000E-04	7.989900E+01	7.989900E+01	1.183998E+19	1.219400E+20	1.029900E+01	1.560982E+10	1.515663E+09	1.712548E+10	1.560982E-05	1.515663E-06	1.712548E-05	4.413901E+13	4.285754E+12	4.842476E+13	1.384800E-02
29	1.204000E-09	3.908409E-04	1.000000E-04	8.162500E+01	8.162500E+01	8.723368E+18	8.985600E+19	1.030000E+01	1.175116E+10	1.140822E+09	1.289198E+10	1.175116E-05	1.140822E-06	1.289198E-05	4.509952E+13	4.378336E+12	4.947786E+13	8.478400E-03
30	1.270300E-09	2.879608E-04	1.000000E-04	8.331300E+01	8.331300E+01	6.427137E+18	6.619500E+19	1.029900E+01	8.835850E+09	8.579080E+08	9.693758E+09	8.835850E-06	8.579080E-07	9.693758E-06	4.602632E+13	4.468879E+12	5.049520E+13	5.091300E-03
31	1.336700E-09	2.121615E-04	1.000000E-04	8.496600E+01	8.496600E+01	4.735336E+18	4.875900E+19	1.029600E+01	6.637589E+09	6.446238E+08	7.282213E+09	6.637589E-06	6.446238E-07	7.282213E-06	4.692832E+13	4.557546E+12	5.148587E+13	3.011100E-03
32	1.403000E-09	1.563148E-04	1.000000E-04	8.658700E+01	8.658700E+01	3.488866E+18	3.591400E+19	1.029300E+01	4.982265E+09	4.840022E+08	5.466268E+09	4.982265E-06	4.840022E-07	5.466268E-06	4.780992E+13	4.644495E+12	5.245442E+13	1.759100E-03
33	1.469300E-09	1.151684E-04	1.000000E-04	8.817700E+01	8.817700E+01	2.570500E+18	2.645300E+19	1.029100E+01	3.737151E+09	3.631477E+08	4.100299E+09	3.737151E-06	3.631477E-07	4.100299E-06	4.867417E+13	4.729782E+12	5.340395E+13	1.017600E-03
34	1.535700E-09	8.485290E-05	1.000000E-04	8.973900E+01	8.973900E+01	1.893873E+18	1.948500E+19	1.028800E+01	2.801509E+09	2.722968E+08	3.073806E+09	2.801509E-06	2.722968E-07	3.073806E-06	4.952410E+13	4.813568E+12	5.433767E+13	5.841000E-04
35	1.602000E-09	6.251727E-05	1.000000E-04	9.127400E+01	9.127400E+01	1.395353E+18	1.435400E+19	1.028600E+01	2.099087E+09	2.040524E+08	2.303139E+09	2.099087E-06	2.040524E-07	2.303139E-06	5.036417E+13	4.895904E+12	5.526007E+13	3.331700E-04
36	1.668300E-09	4.606100E-05	1.000000E-04	9.278400E+01	9.278400E+01	1.028058E+18	1.057400E+19	1.028500E+01	1.571892E+09	1.528273E+08	1.724720E+09	1.571892E-06	1.528273E-07	1.724720E-06	5.118948E+13	4.976900E+12	5.616638E+13	1.890800E-04
37	1.734700E-09	3.393647E-05	1.000000E-04	9.427000E+01	9.427000E+01	7.574446E+17	7.789400E+18	1.028300E+01	1.176489E+09	1.144023E+08	1.290891E+09	1.176489E-06	1.144023E-07	1.290891E-06	5.200110E+13	5.056609E+12	5.705771E+13	1.068700E-04
38	1.801000E-09	2.500345E-05	1.000000E-04	9.573400E+01	9.573400E+01	5.580642E+17	5.738500E+18	1.028200E+01	8.801871E+08	8.559743E+07	9.657845E+08	8.801871E-07	8.559743E-08	9.657845E-07	5.280394E+13	5.135137E+12	5.793907E+13	6.020000E-05
39	1.867300E-09	1.842185E-05	1.000000E-04	9.717600E+01	9.717600E+01	4.111662E+17	4.227700E+18	1.028200E+01	6.582238E+08	6.401575E+07	7.222395E+08	6.582238E-07	6.401575E-08	7.222395E-07	5.359590E+13	5.212486E+12	5.880839E+13	3.381900E-05
40	1.933700E-09	1.357271E-05	1.000000E-04	9.859800E+01	9.859800E+01	3.029359E+17	3.114700E+18	1.028100E+01	4.920336E+08	4.785521E+07	5.398888E+08	4.920336E-07	4.785521E-08	5.398888E-07	5.437752E+13	5.288761E+12	5.966628E+13	1.895600E-05
41	2.000000E-09	1.000000E-05	1.000000E-04	1.000000E+02	1.000000E+02	2.231949E+17	2.294700E+18	1.028100E+01	3.676515E+08	3.575976E+07	4.034112E+08	3.676515E-07	3.575976E-08	4.034112E-07	5.514772E+13	5.363964E+12	6.051168E+13	1.060500E-05
